toma;plato;alimentos;gramos;notas
P;Plátano y batido;Plátano|Proteína en polvo;165|13;
P;Avena líquida;Leche semidesnatada|Copos de avena Hacendado;250|22;
P;De bolsillo;Pan integral de molde|Crema de cacahuete|Proteína en polvo;50|9|10;
D;Avena completa;Copos de avena Hacendado|Leche semidesnatada|Queso batido 0% / skyr|Plátano|Crema de cacahuete;165|380|210|160|16;
D;Salado;Huevos|Pan integral de molde|Yogur natural|Plátano|Crema de cacahuete|Queso batido 0% / skyr;180|165|250|165|15|120;
D;Batido con prisa;Leche semidesnatada|Copos de avena Hacendado|Plátano|Crema de cacahuete|Proteína en polvo;480|140|170|22|28;
D;Avena con kéfir;Copos de avena Hacendado|Leche semidesnatada|Kéfir natural|Plátano|Proteína en polvo;165|380|210|160|20;
C;Ñoquis con pollo;Ñoquis de patata|Pechuga de pollo|Verdura congelada|Queso rallado (ingred.)|Aceite de oliva virgen ex.;455|185|200|15|18;
C;Lentejas con huevo;Lentejas cocidas (bote)|Pan integral de molde|Huevos|Verdura congelada|Aceite de oliva virgen ex.;520|110|140|150|22;
C;Pasta con ternera;Pasta integral|Ternera magra (babilla)|Champiñón laminado|Queso rallado (ingred.)|Aceite de oliva virgen ex.;220|140|150|15|18;
C;Batata con pollo;Batata|Pan integral de molde|Pechuga de pollo|Guisantes congelados|Aceite de oliva virgen ex.;600|100|210|120|15;
C;Arroz con salmón;Arroz largo Hacendado|Salmón fresco|Verdura congelada|Aceite de oliva virgen ex.;190|200|200|8;
C;Patata con pollo;Patata|Pan integral de molde|Pechuga de pollo|Verduras asadas (batch)|Aceite de oliva virgen ex.;650|100|210|200|15;
C;Garbanzos con atún;Garbanzos cocidos (bote)|Pan integral de molde|Atún claro al natural|Verduras asadas (batch)|Aceite de oliva virgen ex.;480|90|110|200|24;
C;Pasta con pollo;Pasta integral|Pechuga de pollo|Champiñón laminado|Aceite de oliva virgen ex.;220|145|250|25;
C;Arroz con pavo;Arroz largo Hacendado|Filete de pavo|Verdura congelada|Aceite de oliva virgen ex.;180|215|250|25;
C;Patata con merluza;Patata|Pan integral de molde|Merluza congelada|Guisantes congelados|Aceite de oliva virgen ex.;310|170|215|220|25;
C;Garbanzos con pollo;Garbanzos cocidos (bote)|Pan integral de molde|Pechuga de pollo|Tomate cherry|Aceite de oliva virgen ex.;405|170|110|200|15;
C;Batata con ternera;Batata|Pan integral de molde|Ternera magra (babilla)|Champiñón laminado|Aceite de oliva virgen ex.;445|140|190|250|20;
C;Lentejas con pavo;Lentejas cocidas (bote)|Pan integral de molde|Filete de pavo|Verdura congelada|Aceite de oliva virgen ex.;415|170|110|155|25;
C;Pasta con atún;Pasta integral|Pan integral de molde|Atún claro al natural|Tomate cherry|Aceite de oliva virgen ex.;160|110|135|200|25;
S1;Nueces;Nueces;40;
S1;Almendras;Almendras;40;
S1;Mezcla;Nueces|Almendras;20|20;
S2;Bolsita de fruta;Bolsita de fruta;100;
S2;Bolsita grande;Bolsita de fruta;120;
S2;Plátano;Plátano;95;
N;Gazpacho y pollo;Gazpacho (brik)|Pechuga de pollo|Pan integral de molde;250|150|85;
N;Arroz con pollo;Arroz largo Hacendado|Pechuga de pollo|Verdura congelada;70|150|150;
N;Atún y gazpacho;Gazpacho (brik)|Atún claro al natural|Pan integral de molde;250|145|85;
N;Alubias con huevo;Alubias cocidas (bote)|Huevos|Verdura congelada;240|130|120;
N;Ñoquis con pollo;Ñoquis de patata|Pechuga de pollo|Champiñón laminado;170|150|150;
N;Patata y huevos;Patata|Huevos|Queso batido 0% / skyr;230|120|205;
N;Merluza con batata;Batata|Merluza congelada|Guisantes congelados;240|210|150;
N;Pasta con pavo;Pasta integral|Filete de pavo|Guisantes congelados|Aceite de oliva virgen ex.;60|130|110|5;
N;Arroz con merluza;Arroz largo Hacendado|Merluza congelada|Verdura congelada|Aceite de oliva virgen ex.;55|215|180|5;
N;Patata con atún;Patata|Atún claro al natural|Huevos|Tomate cherry;275|105|70|180;
N;Garbanzos con pavo;Garbanzos cocidos (bote)|Filete de pavo|Verdura congelada;270|110|100;
N;Lentejas con pollo;Lentejas cocidas (bote)|Pechuga de pollo|Champiñón laminado;335|110|100;
N;Alubias con pavo;Alubias cocidas (bote)|Filete de pavo|Champiñón laminado;330|110|100;
N;Ñoquis con ternera;Ñoquis de patata|Ternera magra (babilla)|Champiñón laminado;150|130|250;
T2;Frutos secos;Nueces|Bolsita de fruta;30|100;
T2;Botella;Batido proteínas (botella)|Almendras;330|20;
T2;Fruta y almendras;Almendras|Manzana;30|200;
T;Frutos secos y batido;Nueces|Plátano|Proteína en polvo;32|130|20;
T;Botella y almendras;Batido proteínas (botella)|Almendras|Bolsita de fruta;330|28|100;
T;Mezcla;Almendras|Nueces|Manzana|Proteína en polvo;25|15|200|16;
Z;Skyr;Queso batido 0% / skyr|Nueces;230|14;
Z;Leche;Leche semidesnatada|Proteína en polvo;300|19;
Z;Yogur;Yogur natural|Proteína en polvo;250|18;
